Data;PIB;Consumo das Fam¡lias;Consumo do Governo;Forma‡Æo Bruta de Capital Fixo
mar/00;4.4;3.0;3.6;-0.3
abr/00;4.1;3.3;3.1;-0.5
mai/00;3.4;2.7;2.1;-1.1
jun/00;4.0;4.2;1.3;3.9
jul/00;4.6;4.8;-0.2;6.0
ago/00;4.8;5.2;-1.2;6.7
set/00;4.6;4.7;-2.3;6.8
out/00;4.7;4.2;-2.2;8.0
nov/00;4.3;3.0;-2.4;7.8
dez/00;4.6;4.1;-2.8;8.8
jan/01;4.6;4.5;-1.6;10.1
fev/01;3.3;4.7;-0.9;8.7
mar/01;3.5;4.0;1.1;10.2
abr/01;3.1;4.4;1.2;8.1
mai/01;3.8;4.9;1.9;7.5
jun/01;2.3;3.1;2.2;2.0
jul/01;1.5;1.3;2.9;1.3
ago/01;0.7;-0.8;3.4;0.2
set/01;0.5;-1.8;3.5;1.2
out/01;0.1;-2.9;3.3;-2.3
nov/01;-0.1;-3.6;3.4;-4.7
dez/01;-0.5;-1.9;3.6;-7.4
jan/02;-0.3;-0.7;4.7;-7.4
fev/02;0.5;1.1;5.9;-7.6
mar/02;0.5;0.2;4.3;-7.9
abr/02;1.6;1.1;3.5;-6.0
mai/02;1.0;0.5;2.6;-6.3
jun/02;2.3;0.7;4.1;-4.3
jul/02;2.0;0.7;3.6;-4.4
ago/02;2.9;1.8;3.6;-3.1
set/02;4.2;2.7;4.2;-0.5
out/02;5.0;2.6;4.6;2.0
nov/02;5.6;2.4;4.3;5.5
dez/02;5.2;1.6;2.8;7.6
jan/03;3.8;1.4;1.0;6.3
fev/03;3.1;1.0;-1.3;6.3
mar/03;2.7;0.0;-0.8;3.1
abr/03;2.5;-1.4;-0.2;-1.0
mai/03;1.8;-2.0;0.6;-4.7
jun/03;0.8;-2.0;0.3;-6.8
jul/03;0.6;-1.8;1.5;-6.8
ago/03;0.0;-2.1;1.5;-7.8
set/03;0.6;-0.7;2.0;-6.9
out/03;0.6;0.5;2.1;-4.4
nov/03;0.9;1.2;3.7;-3.8
dez/03;0.6;0.6;4.7;-4.9
jan/04;1.4;-0.3;3.8;-4.2
fev/04;1.9;-0.5;3.5;-3.5
mar/04;3.9;0.9;3.6;0.9
abr/04;4.4;1.5;5.1;3.5
mai/04;5.8;3.0;6.2;8.2
jun/04;6.3;3.1;6.5;11.9
jul/04;7.1;4.6;5.8;13.6
ago/04;7.7;5.3;5.8;16.9
set/04;6.6;4.9;4.3;14.2
out/04;5.6;3.4;3.3;8.7
nov/04;5.2;4.0;1.5;5.9
dez/04;6.2;6.6;1.3;7.2
jan/05;6.6;8.3;2.0;8.6
fev/05;5.8;7.6;2.6;6.2
mar/05;4.2;5.3;3.7;1.4
abr/05;4.3;5.0;3.1;1.6
mai/05;4.3;4.8;2.6;1.9
jun/05;4.5;4.8;0.6;3.0
jul/05;3.0;4.4;0.4;1.5
ago/05;2.8;4.9;0.6;1.6
set/05;2.1;4.4;1.7;0.9
out/05;2.3;4.2;2.3;1.9
nov/05;1.6;3.0;2.0;1.7
dez/05;2.2;3.3;2.1;2.6
jan/06;3.2;4.0;2.1;4.0
fev/06;4.2;4.9;3.2;6.2
mar/06;4.3;4.9;3.0;8.8
abr/06;2.5;4.8;3.3;6.6
mai/06;2.5;5.6;2.4;6.2
jun/06;2.3;5.8;2.4;3.6
jul/06;3.9;5.5;2.3;6.2
ago/06;4.0;4.8;2.7;5.2
set/06;4.5;5.3;2.6;5.8
out/06;4.7;5.9;3.5;7.0
nov/06;5.0;6.1;4.9;8.1
dez/06;4.8;5.1;6.2;8.7
jan/07;4.8;5.0;5.6;7.5
fev/07;4.6;4.9;4.9;6.9
mar/07;5.2;6.4;4.3;7.2
abr/07;5.5;6.6;4.8;8.8
mai/07;6.0;6.5;5.8;10.4
jun/07;6.5;6.2;6.6;12.4
jul/07;6.6;6.1;6.6;13.4
ago/07;6.5;6.3;5.6;14.6
set/07;5.9;5.8;4.9;14.2
out/07;6.4;6.4;3.5;14.1
nov/07;6.5;6.8;2.2;13.4
dez/07;6.6;7.1;0.7;13.7
jan/08;6.2;7.1;-0.5;13.5
fev/08;6.9;7.8;1.8;13.9
mar/08;6.2;7.2;3.0;12.0
abr/08;6.6;7.0;3.7;12.9
mai/08;5.5;6.2;1.2;11.3
jun/08;6.3;7.0;0.5;13.6
jul/08;6.4;7.7;1.3;14.0
ago/08;6.4;7.6;2.9;15.2
set/08;7.0;8.4;3.9;18.0
out/08;5.7;7.3;3.2;17.3
nov/08;4.2;5.9;1.8;14.1
dez/08;1.0;3.5;0.9;5.5
jan/09;-1.5;2.0;4.2;-3.9
fev/09;-3.1;1.6;3.0;-9.2
mar/09;-2.4;2.3;3.2;-9.5
abr/09;-2.1;3.1;0.3;-9.0
mai/09;-1.3;3.8;2.4;-7.4
jun/09;-2.2;4.0;2.2;-8.3
jul/09;-2.0;4.1;1.6;-6.7
ago/09;-1.7;4.5;0.6;-6.1
set/09;-1.2;4.5;0.3;-3.9
out/09;0.0;4.6;2.2;-2.0
nov/09;1.9;5.4;4.2;3.5
dez/09;5.3;7.0;6.1;12.9
jan/10;7.7;7.2;5.0;22.2
fev/10;9.0;7.0;4.2;27.9
mar/10;9.2;7.5;3.0;29.0
abr/10;9.8;7.5;4.1;29.0
mai/10;9.6;7.3;4.5;27.0
jun/10;8.5;5.4;5.1;22.9
jul/10;7.7;5.4;4.9;19.8
ago/10;7.2;5.3;4.4;18.2
set/10;6.9;5.3;4.8;15.3
out/10;6.3;5.4;4.4;12.3
nov/10;6.2;6.0;4.4;9.9
dez/10;5.7;6.8;2.8;7.8
jan/11;6.0;7.5;2.9;7.8
fev/11;6.0;8.0;2.6;9.0
mar/11;5.2;6.4;2.6;8.2
abr/11;4.1;5.7;2.6;6.6
mai/11;3.7;5.1;1.7;6.1
jun/11;4.7;6.6;3.3;8.1
jul/11;4.8;5.8;3.0;8.7
ago/11;4.3;5.1;3.0;7.8
set/11;3.5;4.0;1.8;5.8
out/11;3.3;3.4;1.5;5.3
nov/11;2.7;2.8;1.4;3.9
dez/11;2.6;2.5;1.2;5.5
jan/12;2.4;3.0;1.1;5.8
fev/12;1.6;2.4;1.2;4.5
mar/12;1.7;3.0;2.1;3.1
abr/12;1.4;2.4;2.0;3.0
mai/12;1.8;2.9;2.7;2.7
jun/12;1.0;2.2;2.1;1.1
jul/12;1.7;3.1;2.7;-0.6
ago/12;2.4;3.9;2.3;-1.4
set/12;2.5;3.9;1.9;-1.5
out/12;2.8;4.8;1.5;0.5
nov/12;2.1;4.3;1.8;0.9
dez/12;2.5;4.8;3.0;0.6
jan/13;2.5;4.6;2.3;-0.2
fev/13;2.7;4.2;1.3;1.8
mar/13;2.7;3.8;-0.1;2.9
abr/13;3.9;3.9;1.1;6.2
mai/13;3.7;4.4;1.1;6.2
jun/13;4.0;4.1;1.2;8.5
jul/13;2.7;3.4;0.7;7.3
ago/13;2.5;3.0;1.8;7.1
set/13;2.8;3.5;2.5;7.3
out/13;2.7;2.9;2.8;7.5
nov/13;3.2;3.1;2.2;7.9
dez/13;2.6;2.6;2.4;4.5
jan/14;2.5;3.1;2.1;3.0
fev/14;3.5;4.3;2.5;3.5
mar/14;3.5;3.7;1.9;4.3
abr/14;2.4;3.0;1.7;0.7
mai/14;0.9;1.7;1.8;-2.7
jun/14;-0.4;1.7;1.2;-6.3
jul/14;-0.6;1.1;1.7;-7.8
ago/14;-1.6;0.2;0.3;-9.9
set/14;-0.6;1.1;1.0;-7.5
out/14;-0.5;1.7;0.2;-6.4
nov/14;-0.3;2.4;0.2;-5.9
dez/14;-0.3;2.6;-0.8;-6.7
jan/15;-0.9;1.4;-0.5;-7.5
fev/15;-1.9;-0.5;-0.5;-9.8
mar/15;-1.8;-1.2;0.0;-9.8
abr/15;-2.1;-1.9;-0.9;-10.7
mai/15;-2.3;-2.0;-1.3;-10.8
jun/15;-3.0;-2.9;-1.2;-12.5
jul/15;-3.2;-3.0;-1.3;-12.2
ago/15;-3.1;-3.2;-0.6;-12.0
set/15;-4.5;-4.7;-1.4;-14.8
out/15;-5.2;-5.7;-1.2;-17.5
nov/15;-5.7;-6.4;-1.5;-18.7
dez/15;-5.8;-6.7;-1.7;-18.7
jan/16;-6.0;-7.2;-1.4;-18.6
fev/16;-5.5;-6.3;-1.4;-18.2
mar/16;-5.4;-5.8;-0.8;-17.3
abr/16;-4.7;-4.9;-0.8;-15.2
mai/16;-4.8;-5.5;-0.5;-13.2
jun/16;-3.6;-4.8;-0.5;-8.6
jul/16;-3.5;-4.7;-0.8;-7.4
ago/16;-2.6;-3.5;-0.6;-6.3
set/16;-2.9;-3.4;-0.8;-8.4
out/16;-3.0;-3.4;-0.3;-8.4
nov/16;-2.9;-3.5;-0.4;-8.1
dez/16;-2.5;-2.9;-0.1;-5.4
jan/17;-1.4;-2.6;0.4;-3.9
